^2022^|^01^|^450491^|^089^|^01^|^CH^|^4220^|^1^|^3001670000^|^1^|^52^|^90050100^|^150083500^|^210116900^|^240133600^|^240133600^|^270150300^|^300167000^|^300167000^|^310213000^|^298021000^|^297267000^|^295167000^|^3^|^5^|^7^|^8^|^8^|^9^|^10^|^10^|^10.33^|^9.93^|^9.9^|^9.83^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4214^|^1^|^5569390000^|^1^|^52^|^463859027^|^463859027^|^463859027^|^463859027^|^463859027^|^463859027^|^463859027^|^463859027^|^463859027^|^463859027^|^463859027^|^466940703^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.38^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4229^|^1^|^2391150000^|^1^|^52^|^190041000^|^190041000^|^203866000^|^203866000^|^203866000^|^203866000^|^203866000^|^203866000^|^203866000^|^203866000^|^190041000^|^190099000^|^7.95^|^7.95^|^8.53^|^8.53^|^8.53^|^8.53^|^8.53^|^8.53^|^8.53^|^8.53^|^7.95^|^7.95^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4218^|^1^|^2972110000^|^1^|^52^|^89163300^|^148605500^|^208047700^|^237768800^|^237768800^|^267489900^|^297211000^|^297211000^|^297211000^|^297211000^|^297211000^|^297211000^|^3^|^5^|^7^|^8^|^8^|^9^|^10^|^10^|^10^|^10^|^10^|^10^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4208^|^1^|^3647900000^|^1^|^52^|^303974000^|^303974000^|^303974000^|^303974000^|^303974000^|^303974000^|^303974000^|^303974000^|^303974000^|^303974000^|^303974000^|^304186000^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.34^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^5237^|^1^|^6242257000^|^1^|^52^|^0^|^40000000^|^226532000^|^226657000^|^40000000^|^101532000^|^101532000^|^339875000^|^651532000^|^651532000^|^651532000^|^3211533000^|^0^|^0.64^|^3.63^|^3.63^|^0.64^|^1.63^|^1.63^|^5.44^|^10.44^|^10.44^|^10.44^|^51.45^|^0^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^5237^|^1^|^16701597000^|^1^|^52^|^0^|^1000000000^|^1227466552^|^1027466585^|^1027466585^|^1227466585^|^1027466585^|^1027466585^|^1239739584^|^1027466585^|^1027466585^|^5842124769^|^0^|^5.99^|^7.35^|^6.15^|^6.15^|^7.35^|^6.15^|^6.15^|^7.42^|^6.15^|^6.15^|^34.98^|^0^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^1^|^248641000^|^1^|^51^|^7459230^|^12432050^|^17404870^|^19891280^|^19891280^|^22377690^|^24864100^|^24864100^|^24864100^|^24864100^|^24864100^|^24864100^|^3^|^5^|^7^|^8^|^8^|^9^|^10^|^10^|^10^|^10^|^10^|^10^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3666^|^1^|^18041790000^|^1^|^52^|^1503482493^|^1503482493^|^1503482493^|^1503482493^|^1503482497^|^1503482497^|^1503482497^|^1503482497^|^1503482497^|^1503482497^|^1503482497^|^1503482549^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4213^|^1^|^2294550000^|^1^|^52^|^191212499^|^191212499^|^191212499^|^191212499^|^191212499^|^191212499^|^191212499^|^191212499^|^191212499^|^191212499^|^191212499^|^191212511^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4223^|^1^|^4469510000^|^1^|^52^|^304028953^|^378836115^|^367921112^|^318762064^|^407909698^|^349386799^|^437335365^|^434437815^|^445652915^|^440095565^|^297847915^|^287295684^|^6.8^|^8.48^|^8.23^|^7.13^|^9.13^|^7.82^|^9.78^|^9.72^|^9.97^|^9.85^|^6.66^|^6.43^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
